Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 004000 | 27bdbfe0.afbf401c.afbe401c.03a0f020.20050012.3c041000.0c10001b.00000020. | 1 | 004001 | 8fc20020.00000020.00621021.afc20018.8fc2001c.00000020.00021080.8fc30030. | 1 | 004002 | 28421000.1440ffe7.00000020.00000020.03c0e820.8fbf002c.8fbe0028.27bd0030. | 1 | 100000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 004000 | 200500fc.27c20018.00402020.0c10001b.00000020.3c041000.0c10005d.00000020. | 1 | 004001 | 00000020.00621021.8fc30018.00000020.ac430000.8fc20020.00000020.24420001. | 1 | 004002 | 03e00008.00000020.27bdfff8.afbe0004.03a0f020.afc40008.8fc20008.00000020. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 004000 | 27c20018.00402020.0c10005d.00000020.00001020.03c0e820.8fbf401c.8fbe4018. | 1 | 004001 | afc20020.8fc20020.00000020.28421000.1440ffd6.00000020.00000020.03c0e820. | 1 | 004002 | 244200c5.30420fff.afc20008.8fc20008.03c0e820.8fbe0004.27bd0008.03e00008. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 004000 | 27bd4020.03e00008.00000020.27bdffd0.afbf002c.afbe0028.03a0f020.afc40030. | 1 | 004001 | 8fbf002c.8fbe0028.27bd0030.03e00008.00000020.27bdffd0.afbf002c.afbe0028. | 1 | 004002 | 00000020.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 004000 | afc50034.8fc20034.00000020.afc20018.2004001e.0c10008a.00000020.afc2001c. | 1 | 004001 | 03a0f020.afc40030.2004001e.0c10008a.00000020.afc20018.afc0001c.0810007e. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 004000 | afc00020.08100051.00000020.8fc4001c.0c10008a.00000020.afc2001c.8fc20018. | 1 | 004001 | 00000020.8fc40018.0c10008a.00000020.afc20018.8fc20018.00000020.00021080. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 004000 | 00000020.30420001.1040000a.00000020.8fc20018.00000020.00021940.8fc20020. | 1 | 004001 | 8fc30030.00000020.00621021.8c420000.00000020.afc20020.8fc20020.00000020. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 004000 | 00000020.00621021.afc20018.08100044.00000020.8fc20018.00000020.000218c0. | 1 | 004001 | 24420001.afc20020.8fc2001c.00000020.24420001.afc2001c.8fc2001c.00000020. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                                                 way0                                                                 | v |  tag   |                                                                 way1                                                                 | v |  tag   |                                                                 way2                                                                 | v |  tag   |                                                                 way3                                                                 |
| 000 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 002001 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 002001 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 110 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 002000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 0 | 000000 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                 way0                                 | v |  tag   |                                 way1                                 | v |  tag   |                                 way2                                 | v |  tag   |                                 way3                                 |
| 000 | 1 | 100025 | 00000000.b5c7d9e5.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100028 | 00000000.00000000.00000000.00000000.00000000.00000000.b8fb3d66.00000000. | 1 | 10000d | 00000000.00000000.4688caf2.00000000.00000000.00000000.00000000.00000000. | 1 | 100010 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.34465863. |
| 001 | 1 | 100013 | 00000000.00000000.00000000.00000000.88cb0d34.00000000.00000000.00000000. | 1 | 100003 | 00000000.00000000.2b6dafda.00000000.00000000.00000000.00000000.00000000. | 1 | 100006 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.5b6d7f8b. | 1 | 10002b | 00000000.00000000.00000000.c7d9ebf7.00000000.00000000.00000000.00000000. |
| 010 | 1 | 100031 | 00000000.00000000.00000000.00000000.00000000.d9ebfe09.00000000.00000000. | 1 | 100016 | 00000000.46586a75.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100019 | 00000000.00000000.00000000.00000000.00000000.00000000.cb0d4f76.00000000. | 1 | 10002e | fb3d7fa8.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 011 | 1 | 100037 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.ebfe101b. | 1 | 10001c | 00000000.00000000.00000000.586a7c87.00000000.00000000.00000000.00000000. | 1 | 10000f | 00000000.00000000.00000000.00000000.00000000.00000000.aff2345e.00000000. | 1 | 100034 | 00000000.00000000.3d7fc1ea.00000000.00000000.00000000.00000000.00000000. |
| 100 | 1 | 10002d | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.13253743. | 1 | 100012 | 00000000.00000000.00000000.7f91a3af.00000000.00000000.00000000.00000000. | 1 | 10003a | 00000000.00000000.00000000.00000000.7fc2042c.00000000.00000000.00000000. | 1 | 10002a | 00000000.00000000.2264a6d2.00000000.00000000.00000000.00000000.00000000. |
| 101 | 1 | 100018 | 00000000.00000000.00000000.00000000.00000000.91a3b5c1.00000000.00000000. | 1 | 10003d | 00000000.fe10222d.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.00000000.7fffbfb0.000007e0.00000000.00000000.00000000. | 1 | 100000 | 00000000.00000000.00000000.00000000.00000000.00000000.c204466e.00000000. |
| 110 | 1 | 10001e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.a3b5c7d3. | 1 | 100003 | 00000000.00000000.00000000.1022343f.00000000.00000000.00000000.00000000. | 1 | 7fffbf | 00000000.00000000.586a7c87.000007e0.000000d8.00000000.7fffbfe0.00400020. | 1 | 10001b | 00000000.00000000.3476b8e2.00000000.00000000.00000000.00000000.00000000. |
| 111 | 1 | 100021 | 00000000.00000000.00000000.00000000.76b8fb24.00000000.00000000.00000000. | 1 | 100006 | 044688b0.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 100009 | 00000000.00000000.00000000.00000000.00000000.22344651.00000000.00000000. | 1 | 100039 | 00000000.00000000.00000000.37495b67.00000000.00000000.00000000.00000000. |

Cache content:
|index| v |  tag   |                                                                 way0                                                                 | v |  tag   |                                                                 way1                                                                 | v |  tag   |                                                                 way2                                                                 | v |  tag   |                                                                 way3                                                                 |
| 000 | 1 | 08000c | 00000000.00000000.00000000.00000000.5b9de00c.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08000f | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.9de0224e.00000000. | 1 | 080018 | 00000000.00000000.00000000.5e70828f.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080000 | 00000000.00000000.00000000.00000000.00000000.495b6d79.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. |
| 001 | 1 | 08000a | 00000000.00000000.00000000.00000000.00000000.00000000.82c50736.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080012 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.e0226490.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 08001e | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.8294a6b3.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080006 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.6d7f919d.00000000.00000000.00000000.00000000.00000000.00000000. |
| 010 | 1 | 080001 | 00000000.94a6b8c5.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000. | 1 | 080010 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.07498bba.00000000.00000000.00000000.00000000.00000000. | 1 | 080018 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.64a6e914.00000000.00000000.00000000. | 1 | 080004 | 00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.00000000.a6b8cad7.00000000.00000000.00000000.00000000. |
